,rank,id,form-id,name,form,alias,move,move-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
1000-000,1,1000,0,サーフゴー,,サーフゴー,"['ゴールドラッシュ', 'シャドーボール', 'わるだくみ', 'トリック', 'じこさいせい', 'みがわり', 'マジカルシャイン', 'きあいだま', '１０まんボルト', 'パワージェム']","[95.9, 93.4, 57.8, 32.4, 29.8, 25.3, 13.5, 12.0, 8.3, 7.8]",['おうごんのからだ'],[100.0],"['こだわりスカーフ', 'おんみつマント', 'ふうせん', 'たべのこし', 'こだわりメガネ', 'とつげきチョッキ', 'ゴツゴツメット', 'きあいのタスキ', 'いのちのたま', 'オボンのみ']","[32.8, 20.0, 14.0, 12.4, 8.6, 2.6, 1.9, 1.7, 1.6, 1.2]","['ノーマル', 'ひこう', 'ゴースト', 'かくとう', 'はがね', 'フェアリー', 'みず', 'あく', 'ほのお', 'ドラゴン']","[30.8, 27.6, 23.3, 7.6, 4.5, 3.0, 1.0, 1.0, 0.4, 0.2]"
0887-000,2,887,0,ドラパルト,,ドラパルト,"['ドラゴンアロー', 'とんぼがえり', 'シャドーボール', 'ふいうち', 'りゅうせいぐん', 'ゴーストダイブ', 'テラバースト', '１０まんボルト', 'だいもんじ', 'かえんほうしゃ']","[63.1, 50.3, 36.2, 31.8, 27.3, 27.1, 22.8, 19.0, 17.9, 15.3]","['すりぬけ', 'クリアボディ', 'のろわれボディ']","[74.6, 14.1, 11.4]","['いのちのたま', 'こだわりハチマキ', 'こだわりメガネ', 'こだわりスカーフ', 'ひかりのねんど', 'きあいのタスキ', 'たべのこし', 'ラムのみ', 'だっしゅつパック', 'とつげきチョッキ']","[24.3, 21.3, 15.2, 9.1, 8.5, 7.7, 7.2, 1.5, 0.7, 0.7]","['ドラゴン', 'ゴースト', 'ほのお', 'はがね', 'フェアリー', 'ノーマル', 'かくとう', 'でんき', 'みず', 'どく']","[44.3, 14.5, 12.7, 10.9, 5.7, 3.5, 2.3, 1.9, 1.5, 0.8]"
0635-000,3,635,0,サザンドラ,,サザンドラ,"['あくのはどう', 'りゅうせいぐん', 'ラスターカノン', 'だいもんじ', 'とんぼがえり', 'かえんほうしゃ', 'テラバースト', 'わるだくみ', 'ちょうはつ', 'りゅうのはどう']","[98.2, 80.4, 71.2, 40.7, 24.2, 20.6, 13.3, 12.3, 8.0, 6.5]",['ふゆう'],[100.0],"['こだわりメガネ', 'こだわりスカーフ', 'いのちのたま', 'たべのこし', 'きあいのタスキ', 'とつげきチョッキ', 'ラムのみ', 'オボンのみ', 'メトロノーム', 'たつじんのおび']","[50.5, 20.1, 10.3, 3.7, 3.0, 2.7, 1.6, 1.4, 0.9, 0.9]","['はがね', 'どく', 'あく', 'ほのお', 'フェアリー', 'でんき', 'ドラゴン', 'みず', 'ゴースト', 'じめん']","[60.4, 14.4, 8.6, 6.2, 3.3, 2.4, 2.3, 0.6, 0.4, 0.3]"
0908-000,4,908,0,マスカーニャ,,マスカーニャ,"['トリックフラワー', 'はたきおとす', 'とんぼがえり', 'じゃれつく', 'ふいうち', 'トリック', 'けたぐり', 'ちょうはつ', 'かわらわり', 'テラバースト']","[95.3, 87.9, 69.2, 45.5, 43.2, 19.3, 12.3, 8.1, 6.3, 3.1]","['へんげんじざい', 'しんりょく']","[66.6, 33.4]","['きあいのタスキ', 'こだわりスカーフ', 'こだわりハチマキ', 'いのちのたま', 'とつげきチョッキ', 'たつじんのおび', 'こだわりメガネ', 'チイラのみ', 'ちからのハチマキ', 'たべのこし']","[37.2, 34.9, 18.2, 5.3, 0.7, 0.6, 0.5, 0.4, 0.4, 0.3]","['くさ', 'あく', 'ほのお', 'フェアリー', 'こおり', 'ゴースト', 'いわ', 'かくとう', 'みず', 'はがね']","[75.7, 8.1, 6.3, 5.1, 1.7, 0.6, 0.6, 0.5, 0.4, 0.3]"
0149-000,5,149,0,カイリュー,,カイリュー,"['しんそく', 'げきりん', 'じしん', 'りゅうのまい', 'ほのおのパンチ', 'はねやすめ', 'アイアンヘッド', 'かみなりパンチ', 'ドラゴンクロー', 'けたぐり']","[88.7, 60.6, 59.6, 56.0, 48.6, 23.7, 11.8, 7.0, 6.6, 5.7]","['マルチスケイル', 'せいしんりょく']","[98.6, 1.4]","['こだわりハチマキ', 'ラムのみ', 'じゃくてんほけん', 'たべのこし', 'あつぞこブーツ', 'ゴツゴツメット', 'いのちのたま', 'シルクのスカーフ', 'ノーマルジュエル', 'おんみつマント']","[35.8, 25.1, 8.3, 6.9, 5.6, 4.2, 3.7, 1.7, 1.5, 1.0]","['ノーマル', 'はがね', 'ほのお', 'フェアリー', 'ひこう', 'ドラゴン', 'じめん', 'でんき', 'みず', 'こおり']","[77.1, 9.6, 3.9, 3.8, 1.7, 1.2, 0.9, 0.6, 0.6, 0.2]"
0778-000,6,778,0,ミミッキュ,,ミミッキュ,"['じゃれつく', 'かげうち', 'シャドークロー', 'つるぎのまい', 'のろい', 'みがわり', 'いたみわけ', 'ドレインパンチ', 'トリック', 'みちづれ']","[92.4, 79.2, 66.9, 66.1, 22.6, 13.2, 13.1, 10.4, 7.6, 5.6]",['ばけのかわ'],[100.0],"['いのちのたま', 'こだわりスカーフ', 'フィラのみ', 'のろいのおふだ', 'カムラのみ', 'ラムのみ', 'ひかりのこな', 'オボンのみ', 'たべのこし', 'ゴツゴツメット']","[63.2, 8.9, 5.4, 2.9, 2.2, 2.1, 2.0, 1.3, 1.1, 1.0]","['ゴースト', 'フェアリー', 'かくとう', 'ノーマル', 'ほのお', 'はがね', 'くさ', 'みず', 'あく', 'ひこう']","[44.5, 14.7, 12.2, 11.9, 8.6, 2.0, 1.5, 0.8, 0.8, 0.7]"
0479-002,7,479,2,ロトム,ウォッシュロトム,ウォッシュロトム,"['ハイドロポンプ', 'ボルトチェンジ', 'トリック', '１０まんボルト', 'テラバースト', 'ほうでん', 'おにび', 'シャドーボール', 'あくのはどう', 'わるだくみ']","[99.2, 93.0, 69.8, 34.7, 34.5, 28.5, 11.4, 7.8, 6.6, 4.0]",['ふゆう'],[100.0],"['こだわりメガネ', 'こだわりスカーフ', 'とつげきチョッキ', 'オボンのみ', 'ラムのみ', 'たつじんのおび', 'たべのこし', 'おんみつマント', 'いのちのたま', 'ひかりのねんど']","[52.5, 24.1, 9.4, 6.2, 1.4, 1.3, 1.3, 0.5, 0.5, 0.5]","['フェアリー', 'でんき', 'ほのお', 'ゴースト', 'こおり', 'くさ', 'みず', 'はがね', 'あく', 'かくとう']","[61.5, 19.8, 4.2, 3.8, 2.7, 1.8, 1.4, 1.4, 0.8, 0.6]"
0911-000,8,911,0,ラウドボーン,,ラウドボーン,"['フレアソング', 'なまける', 'おにび', 'シャドーボール', 'テラバースト', 'たたりめ', 'だいちのちから', 'あくび', 'みがわり', 'バークアウト']","[99.8, 85.5, 67.9, 39.5, 25.6, 23.7, 18.6, 13.2, 7.9, 3.6]","['てんねん', 'もうか']","[98.1, 1.9]","['たべのこし', 'おんみつマント', 'オボンのみ', 'ぼうじんゴーグル', 'とつげきチョッキ', 'ゴツゴツメット', 'のどスプレー', 'あつぞこブーツ', 'こだわりスカーフ', 'ラムのみ']","[46.5, 12.3, 9.3, 8.2, 8.0, 5.1, 2.0, 1.7, 1.2, 0.8]","['フェアリー', 'ほのお', 'ノーマル', 'くさ', 'みず', 'あく', 'ひこう', 'かくとう', 'ドラゴン', 'じめん']","[39.7, 27.5, 14.4, 6.7, 6.3, 2.6, 1.5, 0.3, 0.3, 0.1]"
0445-000,9,445,0,ガブリアス,,ガブリアス,"['じしん', 'げきりん', 'ステルスロック', 'つるぎのまい', 'テラバースト', 'アイアンヘッド', 'ドラゴンテール', 'まきびし', 'ドラゴンクロー', 'がんせきふうじ']","[86.2, 54.9, 43.7, 34.3, 29.9, 25.6, 24.1, 21.7, 18.1, 13.2]","['さめはだ', 'すながくれ']","[95.5, 4.5]","['ラムのみ', 'きあいのタスキ', 'オボンのみ', 'ゴツゴツメット', 'こだわりハチマキ', 'こだわりスカーフ', 'いのちのたま', 'レッドカード', 'とつげきチョッキ', 'ぼうじんゴーグル']","[23.5, 13.5, 13.5, 12.9, 9.8, 8.6, 6.2, 3.1, 1.6, 1.3]","['ほのお', 'はがね', 'フェアリー', 'じめん', 'みず', 'でんき', 'ドラゴン', 'どく', 'ノーマル', 'こおり']","[36.7, 23.8, 14.3, 11.6, 4.2, 3.1, 2.4, 1.2, 0.6, 0.5]"
0637-000,10,637,0,ウルガモス,,ウルガモス,"['ほのおのまい', 'ちょうのまい', 'ギガドレイン', 'むしのさざめき', 'テラバースト', 'あさのひざし', 'みがわり', 'おにび', 'オーバーヒート', 'かえんほうしゃ']","[89.0, 87.1, 63.6, 49.9, 31.0, 19.6, 14.0, 12.7, 10.6, 5.8]","['ほのおのからだ', 'むしのしらせ']","[84.4, 15.6]","['あつぞこブーツ', 'オボンのみ', 'ラムのみ', 'こだわりメガネ', 'いのちのたま', 'きあいのタスキ', 'たべのこし', 'ゴツゴツメット', 'こだわりスカーフ', 'ぼうじんゴーグル']","[27.5, 25.1, 14.1, 9.8, 4.9, 4.3, 3.1, 2.3, 1.2, 0.9]","['くさ', 'フェアリー', 'ほのお', 'みず', 'いわ', 'あく', 'むし', 'はがね', 'ドラゴン', 'じめん']","[36.0, 30.6, 11.0, 8.5, 2.2, 2.0, 1.8, 1.6, 1.3, 1.2]"
0983-000,11,983,0,ドドゲザン,,ドドゲザン,"['アイアンヘッド', 'ふいうち', 'ドゲザン', 'かわらわり', 'ハサミギロチン', 'つるぎのまい', 'けたぐり', 'テラバースト', 'メタルバースト', 'みがわり']","[95.4, 95.2, 93.7, 40.7, 25.2, 20.6, 6.4, 6.0, 3.2, 1.8]","['そうだいしょう', 'まけんき', 'プレッシャー']","[68.3, 28.5, 3.2]","['とつげきチョッキ', 'くろいメガネ', 'いのちのたま', 'ラムのみ', 'オボンのみ', 'こだわりハチマキ', 'たべのこし', 'きあいのタスキ', 'ヨプのみ', 'じゃくてんほけん']","[60.2, 9.7, 7.4, 4.6, 3.6, 2.8, 2.3, 1.8, 1.5, 1.1]","['あく', 'ひこう', 'フェアリー', 'ゴースト', 'はがね', 'ほのお', 'みず', 'くさ', 'かくとう', 'ドラゴン']","[66.2, 15.6, 3.7, 3.1, 2.9, 2.5, 1.5, 1.1, 0.9, 0.6]"
0998-000,12,998,0,セグレイブ,,セグレイブ,"['つららばり', 'じしん', 'こおりのつぶて', 'きょけんとつげき', 'りゅうのまい', 'テラバースト', 'つららおとし', 'アイアンヘッド', 'かわらわり', 'かみくだく']","[87.9, 77.6, 70.5, 64.8, 60.3, 20.3, 6.7, 3.7, 1.9, 1.5]","['ねつこうかん', 'アイスボディ']","[98.4, 1.6]","['いかさまダイス', 'とつげきチョッキ', 'こだわりハチマキ', 'いのちのたま', 'ラムのみ', 'こだわりスカーフ', 'きあいのタスキ', 'じゃくてんほけん', 'オボンのみ', 'とけないこおり']","[58.5, 18.5, 5.5, 4.4, 3.1, 2.7, 2.6, 1.9, 0.4, 0.4]","['じめん', 'でんき', 'こおり', 'ほのお', 'はがね', 'ドラゴン', 'フェアリー', 'みず', 'あく', 'どく']","[41.6, 15.7, 14.1, 9.3, 7.3, 3.6, 3.1, 1.1, 0.8, 0.7]"
0184-000,13,184,0,マリルリ,,マリルリ,"['じゃれつく', 'アクアジェット', 'アクアブレイク', 'ばかぢから', 'テラバースト', 'はらだいこ', 'アイススピナー', 'かわらわり', 'アクアテール', 'じならし']","[98.6, 96.5, 89.8, 54.5, 18.7, 16.6, 7.1, 7.0, 3.5, 1.0]","['ちからもち', 'そうしょく', 'あついしぼう']","[98.8, 0.9, 0.3]","['とつげきチョッキ', 'オボンのみ', 'こだわりハチマキ', 'ラムのみ', 'いのちのたま', 'ゴツゴツメット', 'しんぴのしずく', 'たべのこし', 'ちからのハチマキ', 'たつじんのおび']","[63.7, 17.0, 10.2, 3.1, 1.4, 1.3, 0.8, 0.4, 0.4, 0.2]","['みず', 'ほのお', 'フェアリー', 'ノーマル', 'くさ', 'じめん', 'でんき', 'はがね', 'かくとう', 'ドラゴン']","[39.3, 32.8, 18.5, 2.5, 2.4, 1.5, 0.9, 0.8, 0.5, 0.3]"
0823-000,14,823,0,アーマーガア,,アーマーガア,"['はねやすめ', 'ボディプレス', 'ちょうはつ', 'とんぼがえり', 'てっぺき', 'ブレイブバード', 'アイアンヘッド', 'ドリルくちばし', 'ビルドアップ', 'つけあがる']","[96.8, 71.0, 60.8, 58.3, 49.7, 21.7, 18.2, 10.8, 4.6, 2.9]","['ミラーアーマー', 'プレッシャー', 'きんちょうかん']","[72.1, 24.8, 3.1]","['ゴツゴツメット', 'ぼうじんゴーグル', 'おんみつマント', 'たべのこし', 'オボンのみ', 'こだわりハチマキ', 'じゃくてんほけん', 'ラムのみ', 'ひかりのねんど', 'フィラのみ']","[81.6, 8.7, 4.4, 1.8, 1.6, 0.4, 0.3, 0.2, 0.2, 0.1]","['ドラゴン', 'かくとう', 'ひこう', 'みず', 'あく', 'ノーマル', 'フェアリー', 'じめん', 'はがね', 'ほのお']","[22.9, 22.2, 21.0, 8.7, 4.3, 3.6, 3.5, 3.1, 2.9, 2.7]"
0934-000,15,934,0,キョジオーン,,キョジオーン,"['しおづけ', 'じこさいせい', 'てっぺき', 'ボディプレス', 'まもる', 'ステルスロック', 'じわれ', 'じしん', 'のろい', 'みがわり']","[98.2, 96.4, 56.4, 43.3, 20.5, 19.1, 16.7, 13.6, 13.0, 7.6]","['きよめのしお', 'がんじょう', 'クリアボディ']","[96.9, 2.5, 0.7]","['たべのこし', 'オボンのみ', 'ゴツゴツメット', 'おんみつマント', 'どくどくだま', 'かえんだま', 'とつげきチョッキ', 'こだわりハチマキ', 'フィラのみ', 'ノーマルジュエル']","[70.3, 9.4, 7.9, 4.7, 1.1, 0.9, 0.8, 0.6, 0.6, 0.3]","['ゴースト', 'ひこう', 'みず', 'はがね', 'フェアリー', 'くさ', 'かくとう', 'どく', 'ドラゴン', 'ノーマル']","[45.6, 28.8, 5.3, 4.5, 3.2, 2.5, 2.2, 2.1, 1.4, 1.3]"
