,rank,id,form-id,name,form,alias,move,move-rate,nature,nature-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0987-000,1,987,0,ハバタクカミ,,ハバタクカミ,"['ムーンフォース', 'シャドーボール', 'マジカルフレイム', 'でんじは', 'ちょうはつ', 'パワージェム', 'たたりめ', 'いたみわけ', 'ほろびのうた', 'めいそう']","[95.6, 67.2, 37.2, 26.2, 22.3, 21.3, 17.0, 16.8, 15.5, 12.8]","['おくびょう', 'ずぶとい', 'ひかえめ', 'おだやか', 'せっかち', 'むじゃき', 'ようき', 'てれや', 'がんばりや', 'うっかりや']","[86.6, 8.5, 3.4, 0.6, 0.3, 0.1, 0.1, 0.1, 0.0, 0.0]",['こだいかっせい'],[100.0],"['ブーストエナジー', 'こだわりメガネ', 'きあいのタスキ', 'こだわりスカーフ', 'いのちのたま', 'ふうせん', 'とつげきチョッキ', 'ジャポのみ', 'たべのこし', 'ラムのみ']","[36.4, 35.9, 21.2, 1.3, 1.3, 0.9, 0.7, 0.6, 0.4, 0.3]","['フェアリー', 'ステラ', 'ノーマル', 'じめん', 'ほのお', 'みず', 'でんき', 'ゴースト', 'はがね', 'くさ']","[39.7, 15.3, 13.9, 11.4, 6.6, 6.0, 2.9, 1.8, 0.8, 0.4]"
1002-000,2,1002,0,パオジアン,,パオジアン,"['つららおとし', 'ふいうち', 'せいなるつるぎ', 'こおりのつぶて', 'かみくだく', 'テラバースト', 'つるぎのまい', 'ぜったいれいど', 'かわらわり', 'サイコファング']","[97.4, 78.8, 46.3, 44.6, 36.2, 32.1, 31.5, 13.4, 5.4, 4.8]","['いじっぱり', 'ようき', 'せっかち', 'むじゃき', 'やんちゃ', 'わんぱく', 'さみしがり', 'きまぐれ', 'がんばりや', 'おくびょう']","[54.9, 42.9, 0.4, 0.3, 0.3, 0.1, 0.1, 0.1, 0.1, 0.1]",['わざわいのつるぎ'],[100.0],"['きあいのタスキ', 'こだわりハチマキ', 'いのちのたま', 'こだわりスカーフ', 'オボンのみ', 'とつげきチョッキ', 'ラムのみ', 'とけないこおり', 'ゴツゴツメット', 'ちからのハチマキ']","[67.0, 19.5, 10.1, 0.9, 0.6, 0.4, 0.4, 0.2, 0.1, 0.1]","['でんき', 'あく', 'ステラ', 'こおり', 'ゴースト', 'じめん', 'ほのお', 'フェアリー', 'いわ', 'くさ']","[33.0, 20.3, 17.3, 9.9, 9.7, 4.0, 3.7, 0.5, 0.3, 0.3]"
0149-000,3,149,0,カイリュー,,カイリュー,"['しんそく', 'じしん', 'はねやすめ', 'りゅうのまい', 'げきりん', 'アンコール', 'スケイルショット', 'アイアンヘッド', 'でんじは', 'ほのおのうず']","[80.6, 76.3, 40.9, 40.1, 27.8, 26.5, 24.6, 17.4, 8.8, 7.6]","['いじっぱり', 'ようき', 'ずぶとい', 'わんぱく', 'ゆうかん', 'おだやか', 'しんちょう', 'ひかえめ', 'おくびょう', 'やんちゃ']","[78.0, 8.3, 5.4, 3.1, 1.3, 0.6, 0.6, 0.5, 0.5, 0.2]","['マルチスケイル', 'せいしんりょく']","[99.5, 0.5]","['こだわりハチマキ', 'いかさまダイス', 'ゴツゴツメット', 'たべのこし', 'じゃくてんほけん', 'あつぞこブーツ', 'ラムのみ', 'シルクのスカーフ', 'とつげきチョッキ', 'おんみつマント']","[27.8, 22.4, 21.3, 8.9, 3.7, 3.6, 2.5, 2.3, 2.2, 2.0]","['ノーマル', 'じめん', 'はがね', 'ひこう', 'フェアリー', 'ほのお', 'でんき', 'みず', 'ドラゴン', 'どく']","[60.7, 13.7, 10.4, 5.8, 4.3, 2.1, 1.2, 0.9, 0.4, 0.3]"
0892-001,4,892,1,ウーラオス,れんげきのかた,ウーラオス(れんげき),"['すいりゅうれんだ', 'アクアジェット', 'インファイト', 'ドレインパンチ', 'とんぼがえり', 'アイススピナー', 'れいとうパンチ', 'つるぎのまい', 'みがわり', 'ビルドアップ']","[99.9, 73.4, 56.9, 35.8, 35.0, 24.7, 19.3, 14.0, 10.2, 9.3]","['いじっぱり', 'ようき', 'わんぱく', 'さみしがり', 'ゆうかん', 'しんちょう', 'むじゃき', 'がんばりや', 'やんちゃ', 'せっかち']","[86.0, 11.1, 1.5, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1]",['ふかしのこぶし'],[100.0],"['パンチグローブ', 'こだわりハチマキ', 'こだわりスカーフ', 'きあいのタスキ', 'とつげきチョッキ', 'ゴツゴツメット', 'しんぴのしずく', 'たべのこし', 'オボンのみ', 'いのちのたま']","[37.0, 27.2, 20.5, 7.7, 1.7, 1.7, 1.0, 0.6, 0.6, 0.5]","['みず', 'どく', 'ノーマル', 'じめん', 'はがね', 'フェアリー', 'でんき', 'かくとう', 'ほのお', 'ステラ']","[65.1, 9.5, 9.0, 4.7, 3.2, 3.0, 1.9, 1.2, 1.1, 1.0]"
1003-000,5,1003,0,ディンルー,,ディンルー,"['じしん', 'カタストロフィ', 'ステルスロック', 'ふきとばし', 'ヘビーボンバー', 'しっぺがえし', 'テラバースト', 'じわれ', 'まきびし', 'がんせきふうじ']","[89.6, 63.1, 50.1, 49.5, 37.4, 28.0, 25.9, 12.7, 11.7, 10.6]","['いじっぱり', 'わんぱく', 'しんちょう', 'ゆうかん', 'なまいき', 'のんき', 'おだやか', 'ずぶとい', 'ようき', 'すなお']","[36.8, 36.2, 21.4, 1.3, 1.0, 0.8, 0.6, 0.5, 0.2, 0.2]",['わざわいのうつわ'],[100.0],"['とつげきチョッキ', 'オボンのみ', 'たべのこし', 'こだわりハチマキ', 'ゴツゴツメット', 'フィラのみ', 'カゴのみ', 'レッドカード', 'じゃくてんほけん', 'メンタルハーブ']","[47.0, 34.5, 14.5, 0.8, 0.5, 0.5, 0.3, 0.3, 0.2, 0.2]","['どく', 'フェアリー', 'はがね', 'みず', 'でんき', 'くさ', 'ほのお', 'じめん', 'あく', 'こおり']","[37.9, 37.3, 14.8, 2.7, 2.3, 1.8, 1.1, 1.0, 0.3, 0.3]"
0901-001,6,901,1,ガチグマ,アカツキ,ガチグマ(アカツキ),"['ブラッドムーン', 'だいちのちから', 'しんくうは', 'ハイパーボイス', 'つきのひかり', 'あくび', 'ムーンフォース', 'めいそう', 'ちょうはつ', 'ねごと']","[96.3, 84.4, 78.9, 55.2, 25.6, 25.2, 11.3, 10.0, 5.4, 1.7]","['ひかえめ', 'ずぶとい', 'れいせい', 'おだやか', 'がんばりや', 'おくびょう', 'のんき', 'なまいき', 'のうてんき', 'いじっぱり']","[74.6, 11.1, 8.7, 2.4, 2.1, 0.5, 0.3, 0.2, 0.0, 0.0]",['しんがん'],[100.0],"['とつげきチョッキ', 'シルクのスカーフ', 'きあいのタスキ', 'たべのこし', 'ゴツゴツメット', 'オボンのみ', 'いのちのたま', 'ラムのみ', 'おんみつマント', 'ばんのうがさ']","[38.0, 15.7, 13.6, 8.2, 5.6, 5.2, 5.1, 2.1, 1.8, 0.8]","['ノーマル', 'どく', 'フェアリー', 'みず', 'ほのお', 'ゴースト', 'かくとう', 'でんき', 'ステラ', 'はがね']","[58.9, 15.7, 14.2, 6.9, 2.5, 0.7, 0.2, 0.2, 0.2, 0.1]"
0977-000,7,977,0,ヘイラッシャ,,ヘイラッシャ,"['じわれ', 'あくび', 'ウェーブタックル', 'ねむる', 'まもる', 'ゆきなだれ', 'ねごと', 'ボディプレス', 'じしん', 'ヘビーボンバー']","[73.8, 69.5, 68.5, 58.9, 46.5, 21.2, 13.2, 13.0, 9.4, 8.2]","['わんぱく', 'のんき', 'いじっぱり', 'しんちょう', 'ずぶとい', 'なまいき', 'まじめ', 'ゆうかん', 'おだやか', 'のうてんき']","[87.1, 6.4, 2.2, 1.7, 0.8, 0.3, 0.3, 0.3, 0.2, 0.2]","['てんねん', 'どんかん', 'みずのベール']","[99.0, 0.6, 0.4]","['ゴツゴツメット', 'たべのこし', 'カゴのみ', 'とつげきチョッキ', 'おんみつマント', 'こだわりハチマキ', 'オボンのみ', 'ラムのみ', 'きれいなぬけがら', 'タラプのみ']","[48.7, 46.2, 1.7, 1.0, 0.5, 0.4, 0.4, 0.2, 0.1, 0.1]","['フェアリー', 'ほのお', 'ゴースト', 'くさ', 'どく', 'はがね', 'じめん', 'でんき', 'みず', 'ひこう']","[47.5, 16.9, 8.7, 5.8, 5.1, 4.9, 4.7, 1.3, 1.0, 1.0]"
1008-000,8,1008,0,ミライドン,,ミライドン,"['イナズマドライブ', 'りゅうせいぐん', 'ボルトチェンジ', 'テラバースト', 'マジカルシャイン', 'パラボラチャージ', 'とんぼがえり', 'めいそう', 'オーバーヒート', 'りゅうのはどう']","[90.7, 79.7, 57.4, 50.4, 29.3, 24.8, 23.9, 9.6, 7.7, 7.3]","['ひかえめ', 'おくびょう', 'ずぶとい', 'きまぐれ', 'おだやか', 'せっかち', 'おっとり', 'れいせい', 'むじゃき', 'うっかりや']","[72.6, 26.0, 0.4, 0.4, 0.3, 0.1, 0.0, 0.0, 0.0, 0.0]",['ハドロンエンジン'],[100.0],"['こだわりスカーフ', 'とつげきチョッキ', 'こだわりメガネ', 'エレキシード', 'じゃくてんほけん', 'だっしゅつパック', 'いのちのたま', 'じしゃく', 'たべのこし', 'きあいのタスキ']","[39.1, 26.3, 17.0, 5.2, 2.9, 2.4, 2.1, 1.5, 0.5, 0.5]","['こおり', 'フェアリー', 'みず', 'でんき', 'はがね', 'ほのお', 'ノーマル', 'じめん', 'ステラ', 'くさ']","[30.2, 29.5, 19.9, 16.4, 1.0, 0.9, 0.7, 0.5, 0.3, 0.2]"
1007-000,9,1007,0,コライドン,,コライドン,"['フレアドライブ', 'ニトロチャージ', 'とんぼがえり', 'ドレインパンチ', 'アクセルブレイク', 'スケイルショット', 'げきりん', 'つるぎのまい', 'インファイト', 'アイアンヘッド']","[74.1, 58.8, 56.1, 40.2, 37.2, 27.4, 24.9, 23.0, 16.3, 14.0]","['いじっぱり', 'ようき', 'きまぐれ', 'しんちょう', 'わんぱく', 'やんちゃ', 'せっかち', 'さみしがり', 'おくびょう', 'むじゃき']","[67.8, 30.8, 0.4, 0.3, 0.2, 0.1, 0.1, 0.1, 0.0, 0.0]",['ひひいろのこどう'],[100.0],"['とつげきチョッキ', 'いかさまダイス', 'こだわりスカーフ', 'こだわりハチマキ', 'ラムのみ', 'いのちのたま', 'たべのこし', 'オボンのみ', 'あついいわ', 'きあいのタスキ']","[33.0, 24.0, 16.4, 15.1, 4.4, 1.3, 1.1, 1.0, 0.7, 0.6]","['ほのお', 'はがね', 'でんき', 'フェアリー', 'かくとう', 'じめん', 'ノーマル', 'ひこう', 'ドラゴン', 'ゴースト']","[78.8, 9.7, 8.3, 0.8, 0.7, 0.7, 0.2, 0.2, 0.2, 0.1]"
0898-002,10,898,2,バドレックス,こくばじょうのすがた,バドレックス(こくば),"['アストラルビット', 'サイコショック', 'わるだくみ', 'ドレインキッス', 'テラバースト', 'くさむすび', 'アンコール', 'めいそう', 'サイコキネシス', 'みがわり']","[99.7, 41.4, 34.1, 32.8, 27.5, 23.3, 17.9, 17.7, 17.2, 14.9]","['おくびょう', 'ひかえめ', 'むじゃき', 'ずぶとい', 'ようき', 'せっかち', 'おだやか', 'いじっぱり', 'まじめ', 'ゆうかん']","[88.0, 10.9, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.0, 0.0]",['じんばいったい'],[100.0],"['きあいのタスキ', 'こだわりスカーフ', 'たべのこし', 'こだわりメガネ', 'オボンのみ', 'ラムのみ', 'いのちのたま', 'のろいのおふだ', 'グラスシード', 'ひかりのこな']","[34.7, 14.7, 12.7, 11.6, 10.1, 4.9, 4.9, 1.3, 1.1, 1.0]","['フェアリー', 'かくとう', 'くさ', 'ノーマル', 'ステラ', 'ゴースト', 'じめん', 'みず', 'はがね', 'あく']","[42.6, 15.5, 14.2, 7.9, 6.6, 4.8, 4.5, 1.3, 1.1, 0.8]"
